input_text,target_text
hit for the cycle מי היה הדטרויט טייגר האחרון אשר,קרלוס גיליין
מי שר את i heard it in a love song,מארשל טאקר בנד
זכו סופרבול seahawks  מתי  הפעם האחרונה,2014-02-02
מי הבעלים של קבוצת הבייסבול בוסטון רד סוקס,ג'ון הנרי
מי שר את השיר נבראתי לך,ברנדי קרלייל
מתי קנדה הפכה לחברה באומות המאוחדות,1945-11-09
go rest high on that mountain מי שר,וינס גייל
מתי יצא הסרט ג'ייסון בורן הראשון,2002-06-06
כמה מיילים זה מקולומביה שבדרום קרוליינה לאטלנטה שבג'ורג'יה,214.9 מיל
באיזו שפה הם מדברים בפוארטו ריקו,אנגלית
מתי הייתה הפעם האחרונה שמישהו ירח לירח,1972-12-11
מי שיחק סימבה במלך האריות המקורי,ג'ונתן טיילור טומאס
מה הפסוק הקטן ביותר בביבליה,ישו בכה
מהו יורש העצר באנגליה,"צ'ארלס, נסיך ויילס"
rams כמה סופרבול יש ל,1.0
she works hard for the money מי שר את,דונה סאמר
מתי קיבלה ארצות הברית את עצמאותה,1776-07-04
מה הוא גיל השתייה החוקי בפולנד,18.0 שנה
למי יש את הכי הרבה interceptions במשחק אחד,DeAngelo Hall
מי שר את השיר little red riding hood,סאם ת'ה שאם
של ויל סמית' summertime מתי יצא,1991
מי שר את האם אתה חייב לגרום לזה להשתהות,הקרנבריז
באיזו מדינה יש את הבניין הגבוה ביותר בעולם,איחוד האמירויות הערביות
מי שר את השיר האם אתה אוהב אותי,The Contours
מי שר את שיר הנושא של חתול תעלול,דייוויד שווייצר
מתי נמכר המחשב הראשון בחנויות,1975
מתי מייקל ג'ורדן שיחק בווייט סוקס,1994
that's what i like about you מי שר,הרומנטיקאים
מה המרחק בין רדלאנס קליפורניה ללוס אנג׳לס,62.9 מיל
מתי מתחיחה עונת הגשמים בפלורידה,05-15
מה הן שתי החלקים של מערכת העצבים,מערכת העצבים המרכזית
מי היה שחקן ה- nba האחרון שגויס מהתיכון,אנפרני סיימונס
מה שמו של השיר החדש של טיילור סוויפט,You Need to Calm Down
מתי הטילה ארצות הברית את פצצת האטום על יפן,1945-08-06
מי שיחק את הבונה בסמוך על ביבר,ג׳רי מאדרס
מי שר את have i told you lately that i love you,ואן מוריסון
מיהו יצרן הקפה הגדול בעולם,ברזיל
מיהו השחקן ספורט שמשתכר הכי גבוה,ליונל מסי
מה היה שם המטוס שהפיל את הפצצה על הירושימה,אנולה גיי
מי אמר praise the lord and pass the ammunition, האוול מ. פורגי
מתי הייתה אמריקה מעורבת במלחמת וייטנאם,1955
שעדיין חיים bee gees האם ישנם חברים של,yes
מי שר את השיר זה מאד נחמד להיות איתך,גלריה
מי יצר את ווילי וונקה וממלכת השוקולד,מל סטיוארט
שהוא המאמן של ניו יורק הענקים,פאט שורמור
מי שיחקה את קארי בריידי בימי חיינו,כריסטי קלארק
מהן 10 הערים הכי גדולות בארצות הברית,שיקגו
מי היא העיר השנייה בגודלה באידהו,מרידיאן
למי יש את הסרטון עם הכי הרבה לייקים ביוטיוב,לואיס פונסי
מי שר את השיר i'm proud to be an american,לי גראנווד
כמה פרקים של המתים המהלכים יש,133.0
מי שהה הכי הרבה זמן בירח,גנאדי פדאלקה
מתי קיבלה ניו אורלינס קבוצה ב- NBA,2002
מתי יצא ספר הג'ונגל המקורי,1967-10-18
מי כתב את השיר חי על תפילה,דזמונד צ'יילד
כמה עונות יש לריק ומורטי,3.0
מתי אישר הקונגרס את הכרזת העצמאות?,1776-08-02
איך זה נקרא כשעוברים את 21 בבלאק ג'ק,חזה
should i stay or should i go מתי שוחרר,1982
כמה פארקים six flags amusement קיימים,18.0
מהו הקמע של toronto raptors,ראפטור
מהן השפות המדוברות בסרי לנקה,סינהלית
מי משחקת את האמא ב miracles from heaven,ג'ניפר גארנר
מתי הייתה הפעם האחרונה שסינסינטי בנגלס זכו בסופרבול,1988
מי משחקת את bonnie בסרט bonnie and clyde,פיי דאנאוויי
מתי יצא we bought a zoo,2011-11-26
מיהו השחקן הראשי בpride and prejudice,אליזבת בנט
take a load off annie מי שר את השיר,הבנד
מיהו השוער הטוב בעולם בכדורגל,קיילור נבאס
בניו יורק plaza hotel מי הבעלים של,קטרה אירוח
מי היה נשיא ארצות הברית ב-1886,גרובר קליבלנד
צולמ  the waltons  איפה  תוכנית טלוויזיה,אמריקה הצפונית
מי כתב את השיר כישפתי אותך,סקרימינג ג'יי הוקינס
blue ridge parkway מה אורכו של,754.8 קילומטר
איפה תתקיים האולימפיאדה הבאה,טוקיו
איפה התפאורה של היפה והחיה,צרפת
"מי שר את השיר ""All Right now""",Free (להקה)
those were the days my friend מי שר,מרי הופקין
מי אמר את המשפט שגבר חייב לדעת את מוגבלותיו,הארי קלאהן
כמה סדרות של השטר קיימים,26.0
מי היה אבי המהפכה הרוסית,ולדימיר איליץ' לנין
מתי עשו את זוג הנעליים הראשון,1818
that power corrupts and absolute power corrupts absolutely מי אמר,לורד אקטון
מי כיכב בסרט הזקן והים,ספנסר טרייסי
מי זכה באליפות הבייסבול לגברים 2015,Duke Blue Devils men's basketball
כמה דמויות יש בליגת האגדות,145.0
כמה מחוזות בחירה יש בקנדה,338.0
כמה רחוקה אורלנדו פלורידה מקיסימי פלורידה,22.0 מיל
מי שר this is me מה greatest showman,קיילה סטל
בצעירים חסרי מנוח phyllis מי משחק את,סנדרה נלסון
מי עושה את הקול של אלזה בלשבור את הקרח,אבה בלה
מתי היה האודישן של one direction לx factor,2010
איפה צולם הסרט חומות של תקווה,מתקן מנספילד
have you ever seen the rain מי כתב שיר,ג'ון פוגרטי
תראה לי את צוות השחקנים של phineas and ferb,תומאס סאנגסטר
את מי משחק זאק אפרון בהיי סקול מיוזיקל,טרוי בולטון
כמה מיילים רבועים הוא האי הגדול של הוואי,4028.0 מייל מרובע
מי שותה כי הרבה בירה בעולם,צ'כיה
מה שמו של האריה הנשית במלך האריות,סאראבי
מי הקוורטרבק הפותח של הויקינגס,קירק קאזינס
מי מחזיק בשיא של גול השדה הארוך ביותר בהיסטוריית ה-nfl,מאט פרייטר
מהי הפעם האחרונה בה ה hornets עלו לפלייאוף,2015
מתי הייתה הפעם האחרונה ש-purdue זכתה באליפות ארצית,2018
מתי הפכה טקסס לחלק מארצות הברית,1845-12-29
באיזה יחידת מודדים מסה בשיטה המטרית,קילוגרם
tuesday's gone with the wind מי שר את,לינרד סקינרד
כמה אדמה איבדה מקיסו במלחמת אמריקה מקסיקו,525000.0 מייל מרובע
איפה צולם הסרט נווה קיץ,ארצות הברית
123 what are we fighting for מי שר,קאנטרי ג'ו מקדונלד
מתי עלה הפרק האחרון של משחק הכס,2019-05-19
מי שר את when a man loves a woman,פרסי סלדג'
מתי נכתב ופורסם רומא וג'ולייט,1595
מי שר את השיר nothing from nothing leaves nothing,בילי פרסטון
מי שר את השיר story of my life,ואן דיירקשן
how do you talk to an angel מי שר את,ג׳יימי וולטרס
big chill ששיחק בסרט,ויליאם הרט
מי שיחק את האבא במשפחת בריידי,רוברט ריד
מי כתב את הספר יומנו של חנון,ג'ף קיני
מי הבוס של מייקל בהמשרד,דייוויד וואלאס
if i could be like that מי שר,3 דורז דאון
למי יש הכי הרבה תארי גראנד סלאם בטניס,רוג'ר פדרר
מי שר את ילדה את בקרוב תהיי אישה,קליף ריצ'רד
מה קבוצת הכדורסל לניו יורק,ניו יורק ניקס
למי יש הכי הרבה גולים בבונדסליגה,רוברט לבנדובסקי
איפה צולם הסרט הנשרים פשטו עם שחר,אוסטריה
כמה עונות היה שובר שורות בטלוויזיה,5.0
מי שיחק את רופא השיניים בסרט,סטיב מרטין
מיהו מלך השערים הטוב ביותר ב- nhl,ויין גרצקי
מי שר את take a look at me now,פיל קולינס
מי שר  i want to check you for ticks,בראד פייזלי
כמה מקדונלד׳ס יש באוסטרליה,970.0
מהי חברת המכוניות הגדולה בעולם,טויוטה
איפה דרך האוקיאנוס הגדולה באוסטרליה,דרך האוקיינוס הגדולה
מי שר את מה נהיה מהלבבות השבורים,ג'ימי רופין
מי הזמר המקורי של חסד מופלא,שדרות הכביש המהיר
מתי החל שעון הקיץ בטקסס,2019-03-10
strangers in the night  מי שר את השיר,פרנק סינטרה
מי השחקן ששיחק את בילבו בגינס,איאן הולם
מי עושה את הקולות ב bob's burgers,ג'ון רוברטס
מה שכר המינימום במדינת אורגון,11.25 דולר אמריקני
באיזה שנה הייתה ההתחייבות להשם,1954
מי שר את פשוט תקרא לי מלאך בבוקר,ג'וס ניוטון
איפה התחיל והסתיים נהר הנילוס,הים התיכון
כמה ערים יש בארצות הברית,19495.0
מי שיחק את הג'וקר בעלייתו של האביר האפל,הית' לדג'ר
יש בארצות הברית ymcas כמה,2700.0
איפה וורלד סיריס משוחקת השנה,ארצות הברית
מי כתב את השיר i shot the sheriff,בוב מארלי
איפה ניו יורק ממוקמת בעולם,ניו יורק
מי העלה את הרעיון של כוח הכבידה,אייזק ניוטון
מיהם חברי להקת starship,גרייס סליק
באיזו מדינה נמצא שפך נהר האינדוס,הודו
מי שר את השיר רוכבי רוח רפאים בשמים,ג'וני קאש
my old man's a dustman מי שר את,לוני דונגן
מתי נכתב הספר שר הטבעות,1948
מתי פורסם שר הטבעות,1954-07-29
מי שר את שיר ברק ברעם,Imagine Dragons
איפה הם מקליטים את the price is right,ארצות הברית
מי שר את sitting on top of the world,קרים
מהי המדינה הלבנה ביותר בארצות הברית,ורמונט
מהי הפעם האחרונה בה זכו milwaukee brewers באליפות,1982
מי היה andrew dice clay בכוכב נולד,lorenzo campana
מהו השם של אלבום the new tool,פחד מחיסון
האם צרפת בחצי הכדור הדרומי או הצפוני,חצי הכדור הצפוני
מהו המספר הרב ביותר של נקודות שהושגו במשחק nba,370.0
מי כתב את ספר מעשי השליחים בברית החדשה,הבשורה על-פי לוקאס
מי כתב את השיר ghost riders in the sky,סטן ג'ונס
למי יש את הכי הרבה rbis היסטוריה,האנק ארון
מתי הוטלה הפצצה האטומית על הירושימה,1945-08-06
jack and diane  מתי יצא השיר,1982
מי עשה look what you made me do,טיילור סוויפט
מי אמר עדיף לאהוב ואז לא מאשר לא לאהוב בכלל,אלפרד טניסון
מי שיחק את הנמלט בסדרת הטלויזיה,דייוויד ג'נסן
איפה התרחשה מלחמת שבע השנים,הודו
מי צוות השחקנים של הסרט בחורים רעים,פול ויליאמס
מה האוכלוסייה בהו צ'י מין,8993000.0
מי שר it's hard to be humble,מאק דייוויס
מי זה האסטרונאוט הראשון שנחת על הירח,ניל ארמסטרונג
מי משחק את הכובעון המשוגע באליסה בארץ הפלאות,ג'וני דפ
כמה רחוקה מונטגומרי אלבמה מקולומבוס ג'ורג'יה,89.0 מיל
מתי נכנעו היפנים במלחמת בעולם השניה,1945-09-02
מי המחבר של החטא ועונשו,פיודור דוסטויבסקי
מי ראש הממשלה של טרינידד וטובגו,קית' רוולי
מיהו השחקן בעל השכר הגבוה ביותר ב- nba,קווין דוראנט
באיזו שפה הם מדברים באמסטרדם הולנד,הולנדית
מי היא האישה בשודדי הקאריביים,קירה נייטלי
in the jungle the mighty jungle מי שר את,The Tokens
מה גילו של ג'סי בסדרה ג'סי,19.0 שנה
מי שר את השיר שלום זה אני,טוד ראנדגרן
i kissed a girl and i liked it מי שר את השיר,קייטי פרי
מי גלמה את דמותה של המכשפה הטובה בסרט הקוסם מארץ עוץ המקורי,בילי בורק
מי שר את השיר כולם משחקים את השוטה,The Main Ingredient
מי שר את and i will always love you,דולי פרטון
מי שיחקה את המעודדת בסאטרדיי נייט לייב,שרי אוטרי
מי שר את on a warm san francisco night,The Animals
מתי נחתו הצליינים על סלע פלימות',1620
מתי יצא השיר שרונה שלי,1979
מי נחשב לאבי המדע הניסויי המודרני,גלילאו גליליי
כמה עונות יש בדרגון בול סופר,1.0
מי שר את אני דלוק עלייך,פרנק סינטרה
מה קוד אזור החיוג של וושינגטון די.סי.,202.0
על איזה סוג עץ צומח קוקוס,קוקוס
streetcar named desire מתי התרחש,1947
"מתי יצא ""יום שישי ה -13 במשחק""",2017-05-26
מתי קרה קרב איוו ג'ימה,1945-02-19
מתי נכתב שר הטבעות,1948
מתי הפסיקו ליצר את השטר של ה1000 דולר,1969-07-14
מי שר את אני רוצה לרקוד עם מישהו,ויטני יוסטון
כמה ימים יש בעונת הקיץ,92.0
בן כמה צריך להיות כדי לעשות קעקוע בארצות הברית,18.0 שנה
כמה קלפים אתה מקבל באונו,7.0
מי שר את השיר כמה זמן זה נמשך,אייס
מי הוא המנהל הכללי של toronto blue jays,רוס אטקינס
מהו המדיום המשמש ציורי הקפלה הסיסטינית,פרסקו
מי משמיע את קולו של dora the explorer,פטימה פצ'ק
מתי הליפס זכו בגביע הסטאנלי,1964
מי היו הזמרים באנחנו העולם,"ארה""ב למען אפריקה"
מי כיכב בסטארסקי והאץ' המקורי,אנטוניו פארגאס
איפה כל הפארקים של דיסני ממוקמים,פריז
מי שר את השיר what a wonderful world,לואי ארמסטרונג
מתי הייתה הפעם האחרונה שארסנל ניצחו את ליברפול,2019-08-24
מי אמר i will gladly pay you Tuesday for a hamburger today,ווימפי
bosom buddies מי היה שיר הנושא של תוכנית הטלוויזיה,My Life
במולאן make a man out of you מי שר,דוני אוסמונד
מי השופטים ברוקדים עם כוכבים,ג'וליאן הו
this is the way to amarillo מי שר,טוני כריסטי
הפעם האחרונה שהמטס היו בסדרה העולמית,2015
i'm not in love מתי יצא השיר,1975
מתי יצא,2013
מי היה נשיא ארצות הברית במהלך מלחמת האזרחים,אברהם לינקולן
מה הנוסחה הכימית של נתרן ביקרבונט,סודה לשתייה
כמה זמן לקח לייצר את הסרט אווטאר,4.0 שנה
מה הגודל של מזרן קווין סייז,6080.0 אינץ'
באיזה ערוץ משודר גמר uefa,TNT
האם קוסטה ריקה היא טיריטוריה של ארצות הברית,no
מי שיחק את darth vader ב empire strikes back,דייוויד פראוז
video killed the radio star מתי שוחרר,1980
whatever tomorrow brings i'll be there מי שר,אינקיובס
מתי יצא לילה של יום מפרך,1964-07-06
איפה גביע העולם ברוגבי 2023 יתקיים,צרפת
מי שיחק את סנטה קלאוס ביום שישי שאחרי הבא,ריקי סמיילי
מי מגלמת את דמותה של מריסה בכתום זה השחור החדש,דיאן גוררו
איזה שבט היה בעל ברית עם הבריטים בקרב קווינסטון,אנשי מוחוק
איזו סוג גבינה משתמשים בפיצה,פרובולונה
מי שר את אני רק יושב כאן וצופה במטוסים,גארי אלן
מהי העצם הארוכה האופקית בפלג הגוף העליון,עצם הבריח
למי יש את ממוצע ההטלות הגבוה ביותר בשנת 2017,קורי קלובר
מה שמה של אחותה של בטי בריברדייל,פולי קופר
מתי יום האב מתי יום האב,2020-06-21
NBAב quadruple double מי השיג,אלווין רוברטסון
מי שר את השיר it's the final countdown?,יורופ
מי זכתה בשנה שעברה באליפות הנשים בכדורסל למכללות,אוניברסיטת נוטרדאם
איזה סרט השיג את הרווים הגדולים ביותר בארצות הברית,הנוקמים: סוף המשחק
כמה גולים הבקיע רונאלדו בפריימר ליג,84.0
מי זכה בהכי הרבה הום ראנס  בתולדות הבייסבול,בארי בונדס
מה המדינה הכי פחות מאוכלסת באיחוד,אלסקה
מהם השמות של אמריקאנס pickers,דניאל קולבי קושמן
מי כתב את המילים לשיר בדרכי שלי,פול אנקה
איפה צולם הסרט בחום הלילה,אמריקה הצפונית
היכן צולם הלילה  של המתים החיים המקורי,פנסילבניה
מי הוא האדם הנמוך ביותר ששיחק אי פעם ב- nba,מאגסי בוגס
שנשאר מחוץ לBee Gees,בי ג'יז
you got to hide your love away מי שר,הביטלס
מהו המאמן של detroit lions,מאט פטריסיה
כמה עונות יש במשחקי הכס,8.0
למי שייך מסלול הגולף הלאומי בניו ג'רזי,פאול פאיירמן
מהו שם שדה התעופה בפונטה גורדה פלורידה,שדה תעופה פונטה גורדה
למי שיך הקול מאחורי מצנפת המיון,לסלי פיליפס
למי יש הכי הרבה חסימות בהיסטוריה של האן-בי-איי,אלמור סמית'
מתי יצא המשחק donkey kong country returns,נובמבר 2010
של מי היה הקול של מרלין במוצאים את נמו,אלברט ברוקס
"מתי ארה""ב ביצעה את רכישת לואיזיאנה",1803
מי שר את השיר רק שנינו,גרובר וושינגטון
מהי הפעם האחרונה בה ה mariners עלו לפלייאוף,2001
מה הטמפרטורה החמה ביותר שתועדה בכדור הארץ,134.1 מעלות פארנהייט
versace on the floor מתי יצא,2016
מהי השפה העיקרית המדוברת בפיג'י,אנגלית
מי שר את השיר מי שחרר את הכלבים,באהא מן
מי שר את השיר,שריל קרואו
מי היא המדינה העשירה ביותר בארצות הברית,מרילנד
מתי יצא הסרט מלך האריות,1994-06-24
מרגולר שואו eileen  איזה סוג של חיה היא,עורבני כחול
מי השחקן שמשחק את ג'סטין ב-13 סיבות,ברנדון פלין
למי יש הכי הרבה טבעות אליפות בכדורסל,ביל ראסל
מה הייתה האוניברסיטה הראשונה בארצות הברית,אוניברסיטת הרווארד
מי כתב את סיפורים מפחידים שמספרים בחשיכה,אלווין שוורץ
בת כמה אשתו של הנסיך מגאן הארי,38.0 שנה
Leave It to Beaverב gilbert  מי שיחק את,סטיפן טלבוט
the most teams in the nba-מי היה ב,ג'ו סמית'
nashville tennesseeל knoxville tennesseeכמה קילומטרים זה מ,180.1 מיל
איפה האיירון באוול משוחק השנה,ארצות הברית
מתי יצא זה הראשון של סטיבן קינג,1990-11-18
מה היה הסרט הראשון של דיסני,שלגיה ושבעת הגמדים
מה גודל המסך של iphone 6,4.7 אינץ'
youtube-למי יש הכי הרבה מנויים ב,טי סיריז
בן כמה ג'יימס לברון היה כשהוא גוייס ל NBA,19.0 שנה
מי מייצר הכי הרבה אורז בעולם,הרפובליקה העממית של סין
מהי אוכלוסיית צ'אנג מאי תאילנד,131091.0
מי משחקת את מנדי ב last man standing,מולי אפרים
מי שר את i can't get enough of you,תמיה
here i go again on my own מי שר,וייטסנייק
מי שר את how long has this been going on,אייס
מהי מהירות הקול בגובה פני הים,344.0 מטר לשנייה
כמה כסף פורטו ריקו חייבת לארצות הברית,74000000000.0 דולר אמריקני
cedar point-מהו רכבת ההרים הגבוהה ביותר ב,טופ ת'ריל דראגסטר
מי היה המלך במהלך המהפכה האמריקאית,ג'ורג' השלישי
מתי מתחילה העונה הרגילה של כדורגל ב nfl,2019-09-05
מי שר את השיר by the rivers of babylon,בוני אם
i love it when a plan comes together מי אמר,"קולונל ג'ון ""חניבעל"" סמית'"
ready or not here i come מי שר,פוג'יז
take another piece of my heart מי שר את השיר,ג'ניס ג'ופלין
מי שר את לא מצליח לשמור את ידי לעצמי,סלינה גומז
one day at a timeמי שיחק ב,ואלרי ברטינלי
למי יש הכי הרבה MVPS ב- NBA,כרים עבדול-ג'באר
מי משחקת את אמי בהמפץ הגדול,מים ביאליק
לאיזו קבוצה בליגת הבייסבול הבכירה יש הכי הרבה טבעות של הסדרה העולמית,ניו יורק יאנקיז
למי יש הכי הרבה יארדים תפיסות במשחק אחד,פליפר אנדרסון
מי שר  what you won't do for love,בובי קלדוול
מה הגיל הממוצע של אוכלוסיית ארצות הברית,38.1 שנה
מי שר את השיר sweet child of mine,Guns N' Roses
מי גילם את אנאקין  סקייווקר באימת הפנטום,ג'ייק לויד
מי שר את,מריה קארי
באיזו שנה יצא הסרט color purple,1985-12-16
leave it to beaver מי מגלם את דמותו של ביאבר בסרט,ג׳רי מאדרס
כמה צדים יש להפירמידה הגדולה של גיזה,4.0
האם וושינגטון די. סי. היא מדינה בארצות הברית,no
מהי המדינה החמישם של ארצות הברית,הוואי
מי משחק את ביין באביר האופל עולה,טום הארדי
מי גילם את דמותו של פיטר פן בסרט המקורי,בובי דריסקול
מתי יצא מלכת הארורים,2002-01-10
מתי יצא הסרט הראשון של שר הטבעות,2001-12-19
מי משחק את מרטי דיקס באן-סי-איי-אס לוס אנג'לס,אריק כריסטיאן אולסן
dog days of summer מאיפה הגיע הביטוי,רומא העתיקה
כמה עונות של שוטרים בדם יש בנטפליקס,8.0
מי הפנים שיש על שטר דולר אחד,ג'ורג' וושינגטון
מי שיחקה את אלי מי בהבוורלי הילבילים,דונה דאגלס
את מי שיחק ליאם ניסן במלחמת הכוכבים,קווי-גון ג'ין
מה הגודל של in heat,7.9 אינץ'
באיזו עונה דרק נורה בהאנטומיה של גריי,6.0
מי שיחק את האביר על הסוס הלבן בעד עצם היום הזה,ג'וש דאלאס
מי הוא הילד השחור בדברים מוזרים,קיילב מק'לוכלין
האם הרפובליקה הדומיניקנית חלקה של ארצות הברית,no
מה הם חמשת המחוזות של ניו יורק,ברוקלין
you and me against the world מי כתב,פול ויליאמס
כמה פרקים יש בספר תהילים,6.0
מי מגלמת את fay templeton ב yankee doodle dandy,איירין מאנינג
מה שם הכריש בלמצוא את נמו,ברוס
מתי יצא השיר stand by me,1962
מי שר את i just called to say i love you,סטיבי וונדר
מה הקיבולת של פארק סנט ג'יימס,52405.0
מהו השם של המדינה הכי דרומית של אוסטרליה,טסמניה
היכן נערך יריד מדינת מערב וירג'יניה,פיירלי
היכן צילמו את הסרט orange is the new black,ניו יורק
מתי יצא משחק ה final fantasy האחרון,1987-12-18
מי משחק את האמא באבא מתארס,נטשה ריצ'רדסון
מי כתב את ספר שבעת הימים,פטר פרויכן
מי מגלמת את הבת בסידקום schitt's creek,אני מרפי
מי כתב את יהיה שלום בעמק,תומאס דורסי
מיהו המתופף של red hot chili peppers,קליף מרטינז
מי שיחק את ג'ים לינדסי בהמופע של אנדי גריפית',ג'יימס בסט
מי כתב את the times they are a changing,בוב דילן
מתי הונג קונג הפכה לחלק מסין,1997-07-01
מהי החברה הכי בעלת ערך בעולם,אמזון
איפה חשיפה לדרום צולמה באלבאמה,קרוליינה הצפונית
מתי יצא הסרט uncle drew,2018-06-29
מתי שודר הפרק הראשון של צער גידול בנות,1987-09-22
מתי הייתה הפעם האחרונה ש detroit lions  ניצחו משחק פלייאוף,1991
מי שר את music was my first love and it will be my last,ג'ון מיילס
כמה מחוזות וטריטוריות יש בקנדה,10.0
מי כתב את i look to you של whitney houston,אר. קלי
i belong to you you belong to me מי שר,הלומינירס
מי שר dead skunk in the middle of the road,לודון ויינרייט III
מי שר את השיר return of the mack,מארק מוריסון
מי משחק את ancient one ב dr strange,טילדה סווינטון
הם איי קיימן הם חלק מאיי הבהאמה,no
מי שר כשהילדה הקטנה שלי מחייכת,הדריפטרס
מתי אסטרוס הפכו לקבוצה מהליגה האמריקאית,2013
מתי לראשונה יצאו הטלפונים הסלולריים,1973-04-03
מי היה האדם ששלח 1000 ספינות,הלנה
מתי היה ההוריקן האחרון בטמפה שבפלורידה,1921
nothing is going to change my love for you מי שר,גלן מדירוס
מי מגלם את השריף בתוכנית ילוסטון,Hugh Dillon
מי משחק באליפות צרפת הפתוחה,דומיניק תים
מה שמה של אם הדרקונים,דאינריז טארגאריין
i am a child of god מי שר את השיר,פולחן הילסונג
מה שיא הקריירה של סטף קארי בנקודות,54.0
2017-ב college football championship מי זכה,פוטבול אריות קלמסון
dark knight rises-מי גילם את הג'וקר ב,הית' לדג'ר
giver מה הספר השני בסדרת,Gathering Blue
מי זכה  ב 2017 בוורלד סיריס של בייסבול,יוסטון אסטרוס
מתי פעם אחרונה זכו ברזיל בגביע העולם,2002
מתי יצא הסרט מכונת הזמן,1960-07-22
שהוא הבעלים של בולטימור אוריולס,פיטר אנג'לוס
מי שר את שיר it don't matter to me,לחם (להקה)
מי כתב את השיר פסל של שוטה,יאן כרוצ'פילד
מי שיחק את הג׳וקר בסרט lego batman,זאק גאליפנאקיס
מי שיחק בסרט on golden pond,קתרין הפבורן
מה שמו של הכלב מהמנוולים הקטנים,Petey
למי יש הכי הרבה גולים בכדורגל נשים,אבי וומבאך
מי שר את השיר i'm so excited,האחיות פוינטר
מי היה האדם השני שדרך על הירח,באז אולדרין
מתי הייתה הפעם האחרונה שלקליפורניה הייתה רעידת אדמה,2019-07-05
don't stop believing מי שר את השיר,Journey
מי שר את השיר she's got betty davis eyes,קים קארנס
מהי כלל האוכלוסייה של העולם כיום,7700000000.0
מי מגלמת את האנה מארין בשקרניות קטנות,אשלי בנסון
מהי המדינה הראשונה בארצות הברית של אמריקה,דלאוור
"מי שר "" don't let the sun go down""",ג'ורג' מייקל
מי שר את שיר הקאנטרי אני מאמין באהבה,דן ויליאמס
מתי אל תיגע בזמיר התרחש,1930
מי היה נשיא בזמן מלחמת העולם השנייה,פרנקלין דלאנו רוזוולט
מהי המכונית היקרה ביותר בשוק,בוגאטי לה וויטור נואר
מי אמר אשמח לשלם לך ביום שלישי על המבורגר היום,ווימפי
באיזה צבע חתול הצ'שייר בעליסה בארץ הפלאות,ורוד
מתי הייתה פרו בפעם האחרונה בגביע העולם בכדורגל,2018
i need a hero מי שר את השיר,בוני טיילר
מיהו המעסיק הגדול ביותר בארצות הברית,וולמארט
מי ניצח ב הסינגל פיינל לגברים בווימבלדון,נובאק ג'וקוביץ'
מתי זכתה blue jays באליפות,1992
מי כתב את המוזיקה עבור מלך האריות,טים רייס
do they know it's christmas מתי שוחרר,1984
מיהו האדם הזקן ביותר שאי פעם חי,ז'אן לואיז קלמן
מי מגלם את גרוט בשומרי הגלקסיה,וין דיזל
עם מי הכי הרבה שקים ב- NFL,מיכאל סטרהאן
מה הייתה האוכלוסיה של הודו ב 1950,361088090.0
מי שר את me and you and a dog named boo,לובו
my girl by the temptations מי כתב את השיר,סמוקי רובינסון
מה השכר של חבר קונגרס בארצות הברית,174000.0 דולר אמריקני
האם יש ספר של ג'וד בביבליה,yes
מי שר אמהות אל תתנו לתינוקות שלכן לגדול להיות בוקרים,וילי נלסון
NBAמי השחקן הפעיל הגבוה ביותר ב,סטפן קרי
מהי almond capital של העולם,ארצות הברית
כמה פעמים זכו הבלאקהוקס בגביע הסטאנלי,6.0
בן כמה אתה צריך להיות כדי לקנות טאבק ורמונט,21.0 שנה
it might as well rain until septembe מי שר,קרול קינג
מתי יצא השיר,2011
מי שיחקה בסטלה חוזרת לעניינים,אנג'לה באסט
מתי יצא הסרט הכלה של צ'אקי,1998-10-16
מי מינה את חברי בית המשפט העליון הנוכחים,דונלד טראמפ
מי שר את,פוג'יז
מי הוא נשיא ארגון הבריאות העולמי,טדרוס אדהנום גברייזוס
מה היה מחירו של ביטקוין בשנת 2014,400.0 דולר אמריקני
מי כתב את השיר  help me make it through the night,קריס קריסטופרסון
come go with me מי שר שיר,הדל-ויקינגים
מי שיחקה את נלי בבית קטן בערבה,אליסון ארנגרים
מי שיחק באליפות העולם בשנה שעברה,בוסטון רד סוקס
מה היה שם העוזרת בג'טסון,רוזי
מי שרה את השיר put your hand in the hand,אן מארי
מי כתב את הביקורת של שודדי הקריביים,קלאוס באדלט
באיזו שנה יצא הסרט סיוט ברחוב אלם,1984-11-09
מתי יצא אפל ווטש סדרה 2,2016-09
מי הוא שחקן ההוקי בעל השכר הגבוה ביותר ב- nhl,סידני קרוסבי
כמה עונות יש לליב ומאדי,4.0
כמה אליפויות וימבלדון יש לרוג'ר פדרר,8.0
"מה הספר הראשון בתנ""ך",בראשית
מיהו השחקן הטוב ביותר ב- wnba,קנדיס פארקר
מה הוא הפרק הלאומי הכי גדול באוסטרליה,הפארק הלאומי קקדו
when the lights go down in the city מי שר,Journey
מה המשקל הממוצע של גבר אמריקאי,197.9 פאונד אוורדפואה
מתי יצא הסרט Harper Valley PTA,1978-05-23
מי ניצח את מלחמת האזרחים האמריקנית הצפון או הדרום,Northern United States
לאילו אוקיינוסים יש את מספר הגדול ביותר של נהרות שזורמים לתוכם,האוקיינוס האטלנטי
מתי נמסר פסל החירות לארצות הברית,1886
מי מאמן הכדורגל של אוניברסיטת טקסס,טום הרמן
מי נלחם בקרב על הבוין,"ג'יימס השני, מלך אנגליה"
